Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,152,152,152,152,171,205,205,205,205,205,205,218,219
Reserves,508,480,365,315,324,1218,1350,1211,1136,1337,1646,2828,3196
Borrowings +,1759,2072,2351,2636,2725,1546,1902,2058,2597,2853,3005,2604,2489
Other Liabilities +,567,538,487,449,432,562,579,545,527,562,922,1427,1070
Total Liabilities,2987,3242,3355,3552,3652,3531,4035,4019,4465,4957,5778,7077,6974
Fixed Assets +,1276,2295,2390,2839,2819,2753,3019,3080,3413,3854,4406,5210,5432
CWIP,572,49,32,21,22,34,88,36,32,98,37,183,122
Investments,12,13,47,0,4,5,5,4,6,7,10,108,40
Other Assets +,1128,885,886,692,807,738,924,899,1013,999,1325,1575,1379
Total Assets,2987,3242,3355,3552,3652,3531,4035,4019,4465,4957,5778,7077,6974
