Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,152.0,152.0,152.0,152.0,171.0,205.0,205.0,205.0,205.0,205.0,205.0,218.0,219.0
Reserves,508.0,480.0,365.0,315.0,324.0,1218.0,1350.0,1211.0,1136.0,1337.0,1646.0,2828.0,3196.0
Borrowings +,1759.0,2072.0,2351.0,2636.0,2725.0,1546.0,1902.0,2058.0,2597.0,2853.0,3005.0,2604.0,2489.0
Other Liabilities +,567.0,538.0,487.0,449.0,432.0,562.0,579.0,545.0,527.0,562.0,922.0,1427.0,1070.0
Total Liabilities,2987.0,3242.0,3355.0,3552.0,3652.0,3531.0,4035.0,4019.0,4465.0,4957.0,5778.0,7077.0,6974.0
Fixed Assets +,1276.0,2295.0,2390.0,2839.0,2819.0,2753.0,3019.0,3080.0,3413.0,3854.0,4406.0,5210.0,5432.0
CWIP,572.0,49.0,32.0,21.0,22.0,34.0,88.0,36.0,32.0,98.0,37.0,183.0,122.0
Investments,12.0,13.0,47.0,0.0,4.0,5.0,5.0,4.0,6.0,7.0,10.0,108.0,40.0
Other Assets +,1128.0,885.0,886.0,692.0,807.0,738.0,924.0,899.0,1013.0,999.0,1325.0,1575.0,1379.0
Total Assets,2987.0,3242.0,3355.0,3552.0,3652.0,3531.0,4035.0,4019.0,4465.0,4957.0,5778.0,7077.0,6974.0
Net Worth,660.0,632.0,517.0,467.0,495.0,1423.0,1555.0,1416.0,1341.0,1542.0,1851.0,3046.0,3415.0
Debt-to-Equity Ratio,2.67,3.28,4.55,5.64,5.51,1.09,1.22,1.45,1.94,1.85,1.62,0.85,0.73
Total Debt Ratio,0.59,0.64,0.7,0.74,0.75,0.44,0.47,0.51,0.58,0.58,0.52,0.37,0.36
Equity Multiplier,4.53,5.13,6.49,7.61,7.38,2.48,2.59,2.84,3.33,3.21,3.12,2.32,2.04
Fixed Assets to Total Assets %,42.7,70.8,71.2,79.9,77.2,78.0,74.8,76.6,76.4,77.7,76.3,73.6,77.9
CWIP to Fixed Assets %,44.8,2.1,1.3,0.7,0.8,1.2,2.9,1.2,0.9,2.5,0.8,3.5,2.2
Working Capital Proxy,561.0,347.0,399.0,243.0,375.0,176.0,345.0,354.0,486.0,437.0,403.0,148.0,309.0
Net Fixed Assets,1848.0,2344.0,2422.0,2860.0,2841.0,2787.0,3107.0,3116.0,3445.0,3952.0,4443.0,5393.0,5554.0
Investments to Total Assets %,0.4,0.4,1.4,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,1.5,0.6
Book Value per Share (Rs),4.34,4.16,3.4,3.07,2.89,6.94,7.59,6.91,6.54,7.52,9.03,13.97,15.59
YoY Asset Growth %,,8.5,3.5,5.9,2.8,-3.3,14.3,-0.4,11.1,11.0,16.6,22.5,-1.5
YoY Debt Growth %,,17.8,13.5,12.1,3.4,-43.3,23.0,8.2,26.2,9.9,5.3,-13.3,-4.4
YoY Net Worth Growth %,,-4.2,-18.2,-9.7,6.0,187.5,9.3,-8.9,-5.3,15.0,20.0,64.6,12.1
