Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,501.0,441.0,582.0,737.0,796.0,987.0,981.0,286.0,508.0,1128.0,1417.0,1718.0,2734.0
Expenses +,403.0,377.0,446.0,624.0,551.0,668.0,644.0,279.0,409.0,676.0,833.0,982.0,1570.0
Operating Profit,98.0,64.0,136.0,113.0,245.0,319.0,337.0,7.0,98.0,453.0,585.0,736.0,1163.0
OPM %,20.0,14.0,23.0,15.0,31.0,32.0,34.0,2.0,19.0,40.0,41.0,43.0,43.0
Other Income +,-42.0,18.0,13.0,311.0,-66.0,44.0,24.0,14.0,11.0,92.0,20.0,36.0,44.0
Interest,137.0,161.0,216.0,218.0,212.0,266.0,146.0,152.0,144.0,154.0,197.0,159.0,188.0
Depreciation,60.0,62.0,99.0,127.0,112.0,115.0,113.0,117.0,118.0,117.0,138.0,179.0,220.0
Profit before tax,-141.0,-141.0,-166.0,79.0,-145.0,-18.0,101.0,-248.0,-153.0,273.0,269.0,434.0,800.0
Tax %,-23.0,-10.0,-32.0,-61.0,-36.0,-58.0,1.0,-44.0,-47.0,33.0,-3.0,67.0,
Net Profit +,-109.0,-126.0,-112.0,127.0,-93.0,-8.0,100.0,-139.0,-81.0,183.0,278.0,142.0,606.0
EPS in Rs,-7.15,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,27.72
Dividend Payout %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EBITDA,98.0,64.0,136.0,113.0,245.0,319.0,337.0,7.0,98.0,453.0,585.0,736.0,1163.0
EBITDA Margin %,19.6,14.5,23.4,15.3,30.8,32.3,34.4,2.4,19.3,40.2,41.3,42.8,42.5
Net Profit Margin %,-21.8,-28.6,-19.2,17.2,-11.7,-0.8,10.2,-48.6,-15.9,16.2,19.6,8.3,22.2
Interest Coverage Ratio,0.72,0.4,0.63,0.52,1.16,1.2,2.31,0.05,0.68,2.94,2.97,4.63,6.19
Effective Tax Rate %,22.7,10.6,32.5,-60.8,35.9,55.6,1.0,44.0,47.1,33.0,-3.3,67.3,24.2
EBIT,-4.0,20.0,50.0,297.0,67.0,248.0,248.0,-96.0,-9.0,428.0,467.0,593.0,987.0
Core Net Profit,-67.0,-144.0,-125.0,-184.0,-27.0,-52.0,76.0,-153.0,-92.0,91.0,258.0,106.0,562.0
Cost-to-Income Ratio,0.8,0.85,0.77,0.85,0.69,0.68,0.66,0.98,0.81,0.6,0.59,0.57,0.57
Depreciation to Sales %,12.0,14.1,17.0,17.2,14.1,11.7,11.5,40.9,23.2,10.4,9.7,10.4,8.0
Interest to Sales %,27.3,36.5,37.1,29.6,26.6,27.0,14.9,53.1,28.3,13.7,13.9,9.3,6.9
YoY Sales Growth %,,-12.0,32.0,26.6,8.0,24.0,-0.6,-70.8,77.6,122.0,25.6,21.2,59.1
YoY Net Profit Growth %,,-15.6,11.1,213.4,-173.2,91.4,1350.0,-239.0,41.7,325.9,51.9,-48.9,326.8
YoY Operating Profit Growth %,,-34.7,112.5,-16.9,116.8,30.2,5.6,-97.9,1300.0,362.2,29.1,25.8,58.0
