Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,290.0,338.0,311.0,315.0,374.0,418.0,361.0,377.0,458.0,522.0,895.0,735.0,582.0
Expenses +,176.0,186.0,201.0,189.0,208.0,235.0,221.0,228.0,253.0,281.0,537.0,436.0,317.0
Operating Profit,113.0,152.0,110.0,126.0,166.0,183.0,140.0,150.0,205.0,241.0,357.0,299.0,265.0
OPM %,39.0,45.0,35.0,40.0,44.0,44.0,39.0,40.0,45.0,46.0,40.0,41.0,46.0
Other Income +,93.0,-11.0,4.0,4.0,6.0,6.0,8.0,6.0,7.0,15.0,14.0,9.0,7.0
Interest,37.0,41.0,45.0,50.0,48.0,53.0,32.0,34.0,45.0,48.0,49.0,45.0,46.0
Depreciation,28.0,30.0,31.0,35.0,35.0,37.0,39.0,42.0,48.0,50.0,54.0,57.0,58.0
Profit before tax,141.0,71.0,37.0,44.0,89.0,99.0,78.0,79.0,118.0,159.0,269.0,205.0,167.0
Tax %,27.0,49.0,-138.0,18.0,20.0,17.0,22.0,274.0,18.0,22.0,24.0,24.0,26.0
Net Profit +,102.0,37.0,89.0,36.0,71.0,82.0,61.0,-139.0,97.0,124.0,203.0,155.0,124.0
EPS in Rs,4.99,1.79,4.32,1.77,3.44,4.01,2.78,-6.35,4.42,5.67,9.3,7.08,5.67
EBITDA,113.0,152.0,110.0,126.0,166.0,183.0,140.0,150.0,205.0,241.0,357.0,299.0,265.0
EBITDA Margin %,39.0,45.0,35.4,40.0,44.4,43.8,38.8,39.8,44.8,46.2,39.9,40.7,45.5
Net Profit Margin %,35.2,10.9,28.6,11.4,19.0,19.6,16.9,-36.9,21.2,23.8,22.7,21.1,21.3
Interest Coverage Ratio,3.05,3.71,2.44,2.52,3.46,3.45,4.38,4.41,4.56,5.02,7.29,6.64,5.76
QoQ Sales Growth %,,16.6,-8.0,1.3,18.7,11.8,-13.6,4.4,21.5,14.0,71.5,-17.9,-20.8
QoQ Net Profit Growth %,,-63.7,140.5,-59.6,97.2,15.5,-25.6,-327.9,169.8,27.8,63.7,-23.6,-20.0
QoQ Operating Profit Growth %,,34.5,-27.6,14.5,31.7,10.2,-23.5,7.1,36.7,17.6,48.1,-16.2,-11.4
YoY Sales Growth %,,,,,29.0,23.7,16.1,19.7,22.5,24.9,147.9,95.0,27.1
YoY Net Profit Growth %,,,,,-30.4,121.6,-31.5,-486.1,36.6,51.2,232.8,211.5,27.8
Trailing 4Q Sales,,,,1254.0,1338.0,1418.0,1468.0,1530.0,1614.0,1718.0,2252.0,2610.0,2734.0
Trailing 4Q Net Profit,,,,264.0,233.0,278.0,250.0,75.0,101.0,143.0,285.0,579.0,606.0
