Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,114,114,114,114,114,114,114,125,125,125,125,125,125
Reserves,2501,2496,2616,2666,2768,2879,3022,2979,2902,3250,3814,4488,4581
Borrowings +,452,418,318,359,502,550,647,510,475,238,199,265,250
Other Liabilities +,637,691,556,540,680,698,658,510,635,782,906,953,941
Total Liabilities,3704,3719,3604,3680,4064,4242,4442,4125,4137,4395,5045,5831,5897
Fixed Assets +,2711,2615,2230,2092,2548,2628,3007,2885,2854,2871,2885,3143,3178
CWIP,50,93,115,321,148,79,130,169,55,96,170,308,403
Investments,247,254,301,288,327,428,459,411,365,384,448,548,542
Other Assets +,697,757,958,979,1042,1107,846,659,863,1044,1542,1833,1773
Total Assets,3704,3719,3604,3680,4064,4242,4442,4125,4137,4395,5045,5831,5897
