Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,1547,1669,1661,1529,1599,1811,1596,494,985,2019,2511,2743,2872
Expenses +,1211,1338,1315,1265,1298,1405,1301,847,1019,1419,1584,1715,1831
Operating Profit,336,331,345,263,300,406,295,-354,-34,599,927,1028,1041
OPM %,22%,20%,21%,17%,19%,22%,18%,-72%,-3%,30%,37%,37%,36%
Other Income +,34,28,41,61,121,8,73,49,100,16,141,156,55
Interest,53,46,28,18,23,50,56,41,35,36,19,21,23
Depreciation,135,168,133,128,117,133,146,129,124,126,131,134,138
Profit before tax,182,145,224,178,281,231,166,-476,-93,454,917,1028,935
Tax %,39%,54%,36%,34%,30%,36%,1%,-21%,2%,27%,26%,25%,
Net Profit +,120,76,143,118,196,149,165,-375,-95,329,678,770,670
EPS in Rs,1.71,1.01,2.10,1.65,2.87,2.10,2.38,-5.91,-1.56,5.03,10.22,11.82,10.29
Dividend Payout %,68%,100%,48%,50%,29%,39%,0%,0%,0%,22%,12%,13%,

Additional Metrics,Value
Compounded Sales Growth (10 Years:),5%
Compounded Sales Growth (5 Years:),11%
Compounded Sales Growth (3 Years:),41%
Compounded Sales Growth (TTM:),8%
Compounded Profit Growth (10 Years:),28%
Compounded Profit Growth (5 Years:),38%
Compounded Profit Growth (3 Years:),93%
Compounded Profit Growth (TTM:),8%
Stock Price CAGR (10 Years:),11%
Stock Price CAGR (5 Years:),29%
Stock Price CAGR (3 Years:),22%
Stock Price CAGR (1 Year:),-14%
Return on Equity (10 Years:),6%
Return on Equity (5 Years:),7%
Return on Equity (3 Years:),16%
Return on Equity (Last Year:),18%
