Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,1547.0,1669.0,1661.0,1529.0,1599.0,1811.0,1596.0,494.0,985.0,2019.0,2511.0,2743.0,2872.0
Expenses +,1211.0,1338.0,1315.0,1265.0,1298.0,1405.0,1301.0,847.0,1019.0,1419.0,1584.0,1715.0,1831.0
Operating Profit,336.0,331.0,345.0,263.0,300.0,406.0,295.0,-354.0,-34.0,599.0,927.0,1028.0,1041.0
OPM %,22.0,20.0,21.0,17.0,19.0,22.0,18.0,-72.0,-3.0,30.0,37.0,37.0,36.0
Other Income +,34.0,28.0,41.0,61.0,121.0,8.0,73.0,49.0,100.0,16.0,141.0,156.0,55.0
Interest,53.0,46.0,28.0,18.0,23.0,50.0,56.0,41.0,35.0,36.0,19.0,21.0,23.0
Depreciation,135.0,168.0,133.0,128.0,117.0,133.0,146.0,129.0,124.0,126.0,131.0,134.0,138.0
Profit before tax,182.0,145.0,224.0,178.0,281.0,231.0,166.0,-476.0,-93.0,454.0,917.0,1028.0,935.0
Tax %,39.0,54.0,36.0,34.0,30.0,36.0,1.0,-21.0,2.0,27.0,26.0,25.0,
Net Profit +,120.0,76.0,143.0,118.0,196.0,149.0,165.0,-375.0,-95.0,329.0,678.0,770.0,670.0
EPS in Rs,1.71,1.01,2.1,1.65,2.87,2.1,2.38,-5.91,-1.56,5.03,10.22,11.82,10.29
Dividend Payout %,68.0,100.0,48.0,50.0,29.0,39.0,0.0,0.0,0.0,22.0,12.0,13.0,
EBITDA,336.0,331.0,345.0,263.0,300.0,406.0,295.0,-354.0,-34.0,599.0,927.0,1028.0,1041.0
EBITDA Margin %,21.7,19.8,20.8,17.2,18.8,22.4,18.5,-71.7,-3.5,29.7,36.9,37.5,36.2
Net Profit Margin %,7.8,4.6,8.6,7.7,12.3,8.2,10.3,-75.9,-9.6,16.3,27.0,28.1,23.3
Interest Coverage Ratio,6.34,7.2,12.32,14.61,13.04,8.12,5.27,-8.63,-0.97,16.64,48.79,48.95,45.26
Effective Tax Rate %,34.1,47.6,36.2,33.7,30.2,35.5,0.6,21.2,-2.2,27.5,26.1,25.1,28.3
EBIT,235.0,191.0,253.0,196.0,304.0,281.0,222.0,-434.0,-58.0,489.0,937.0,1050.0,958.0
Core Net Profit,86.0,48.0,102.0,57.0,75.0,141.0,92.0,-424.0,-195.0,313.0,537.0,614.0,615.0
Cost-to-Income Ratio,0.78,0.8,0.79,0.83,0.81,0.78,0.82,1.71,1.03,0.7,0.63,0.63,0.64
Depreciation to Sales %,8.7,10.1,8.0,8.4,7.3,7.3,9.1,26.1,12.6,6.2,5.2,4.9,4.8
Interest to Sales %,3.4,2.8,1.7,1.2,1.4,2.8,3.5,8.3,3.6,1.8,0.8,0.8,0.8
YoY Sales Growth %,,7.9,-0.5,-7.9,4.6,13.3,-11.9,-69.0,99.4,105.0,24.4,9.2,4.7
YoY Net Profit Growth %,,-36.7,88.2,-17.5,66.1,-24.0,10.7,-327.3,74.7,446.3,106.1,13.6,-13.0
YoY Operating Profit Growth %,,-1.5,4.2,-23.8,14.1,35.3,-27.3,-220.0,90.4,1861.8,54.8,10.9,1.3
