Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,586.0,637.0,498.0,531.0,741.0,741.0,527.0,589.0,800.0,827.0,574.0,598.0,873.0
Expenses +,377.0,433.0,343.0,388.0,417.0,437.0,392.0,414.0,443.0,477.0,414.0,444.0,497.0
Operating Profit,209.0,204.0,155.0,143.0,324.0,304.0,135.0,175.0,357.0,351.0,160.0,154.0,376.0
OPM %,36.0,32.0,31.0,27.0,44.0,41.0,26.0,30.0,45.0,42.0,28.0,26.0,43.0
Other Income +,27.0,-16.0,28.0,26.0,18.0,69.0,37.0,40.0,48.0,43.0,-66.0,53.0,26.0
Interest,7.0,12.0,6.0,6.0,5.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
Depreciation,31.0,32.0,32.0,33.0,34.0,33.0,33.0,34.0,34.0,33.0,33.0,35.0,37.0
Profit before tax,197.0,145.0,145.0,130.0,304.0,338.0,134.0,175.0,364.0,355.0,54.0,166.0,360.0
Tax %,25.0,36.0,27.0,28.0,24.0,27.0,28.0,24.0,23.0,26.0,32.0,30.0,29.0
Net Profit +,149.0,92.0,106.0,94.0,230.0,248.0,97.0,133.0,279.0,262.0,37.0,117.0,255.0
EPS in Rs,2.28,1.35,1.66,1.49,3.51,3.56,1.47,2.08,4.23,4.04,0.54,1.82,3.89
EBITDA,209.0,204.0,155.0,143.0,324.0,304.0,135.0,175.0,357.0,351.0,160.0,154.0,376.0
EBITDA Margin %,35.7,32.0,31.1,26.9,43.7,41.0,25.6,29.7,44.6,42.4,27.9,25.8,43.1
Net Profit Margin %,25.4,14.4,21.3,17.7,31.0,33.5,18.4,22.6,34.9,31.7,6.4,19.6,29.2
Interest Coverage Ratio,29.86,17.0,25.83,23.83,64.8,152.0,27.0,35.0,59.5,58.5,26.67,25.67,62.67
QoQ Sales Growth %,,8.7,-21.8,6.6,39.5,0.0,-28.9,11.8,35.8,3.4,-30.6,4.2,46.0
QoQ Net Profit Growth %,,-38.3,15.2,-11.3,144.7,7.8,-60.9,37.1,109.8,-6.1,-85.9,216.2,117.9
QoQ Operating Profit Growth %,,-2.4,-24.0,-7.7,126.6,-6.2,-55.6,29.6,104.0,-1.7,-54.4,-3.8,144.2
YoY Sales Growth %,,,,,26.5,16.3,5.8,10.9,8.0,11.6,8.9,1.5,9.1
YoY Net Profit Growth %,,,,,54.4,169.6,-8.5,41.5,21.3,5.6,-61.9,-12.0,-8.6
Trailing 4Q Sales,,,,2252.0,2407.0,2511.0,2540.0,2598.0,2657.0,2743.0,2790.0,2799.0,2872.0
Trailing 4Q Net Profit,,,,441.0,522.0,678.0,669.0,708.0,757.0,771.0,711.0,695.0,671.0
