Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,81.0,81.0,99.0,99.0,119.0,119.0,119.0,119.0,142.0,142.0,142.0,142.0,142.0
Reserves,2556.0,2146.0,2481.0,2419.0,4062.0,4229.0,4238.0,3530.0,6920.0,7840.0,9314.0,11018.0,11427.0
Borrowings +,4252.0,5074.0,4526.0,3383.0,2427.0,2326.0,4501.0,5518.0,3888.0,3139.0,2736.0,3084.0,3226.0
Other Liabilities +,2626.0,2582.0,2691.0,2698.0,2706.0,2840.0,2584.0,2268.0,2052.0,2391.0,2541.0,3371.0,3623.0
Total Liabilities,9514.0,9884.0,9797.0,8599.0,9314.0,9514.0,11442.0,11435.0,13002.0,13512.0,14733.0,17616.0,18419.0
Fixed Assets +,6215.0,6299.0,6762.0,5815.0,6163.0,6422.0,8059.0,8438.0,8415.0,8819.0,9311.0,10918.0,11156.0
CWIP,554.0,306.0,290.0,223.0,197.0,116.0,244.0,165.0,194.0,332.0,256.0,633.0,862.0
Investments,1427.0,1587.0,1515.0,1244.0,1511.0,1335.0,1427.0,1483.0,1967.0,1891.0,2261.0,2279.0,3339.0
Other Assets +,1318.0,1692.0,1231.0,1317.0,1443.0,1641.0,1712.0,1349.0,2426.0,2470.0,2905.0,3786.0,3061.0
Total Assets,9514.0,9884.0,9797.0,8599.0,9314.0,9514.0,11442.0,11435.0,13002.0,13512.0,14733.0,17616.0,18419.0
Net Worth,2637.0,2227.0,2580.0,2518.0,4181.0,4348.0,4357.0,3649.0,7062.0,7982.0,9456.0,11160.0,11569.0
Debt-to-Equity Ratio,1.61,2.28,1.75,1.34,0.58,0.53,1.03,1.51,0.55,0.39,0.29,0.28,0.28
Total Debt Ratio,0.45,0.51,0.46,0.39,0.26,0.24,0.39,0.48,0.3,0.23,0.19,0.18,0.18
Equity Multiplier,3.61,4.44,3.8,3.42,2.23,2.19,2.63,3.13,1.84,1.69,1.56,1.58,1.59
Fixed Assets to Total Assets %,65.3,63.7,69.0,67.6,66.2,67.5,70.4,73.8,64.7,65.3,63.2,62.0,60.6
CWIP to Fixed Assets %,8.9,4.9,4.3,3.8,3.2,1.8,3.0,2.0,2.3,3.8,2.7,5.8,7.7
Working Capital Proxy,-1308.0,-890.0,-1460.0,-1381.0,-1263.0,-1199.0,-872.0,-919.0,374.0,79.0,364.0,415.0,-562.0
Net Fixed Assets,6769.0,6605.0,7052.0,6038.0,6360.0,6538.0,8303.0,8603.0,8609.0,9151.0,9567.0,11551.0,12018.0
Investments to Total Assets %,15.0,16.1,15.5,14.5,16.2,14.0,12.5,13.0,15.1,14.0,15.3,12.9,18.1
Book Value per Share (Rs),32.56,27.49,26.06,25.43,35.13,36.54,36.61,30.66,49.73,56.21,66.59,78.59,81.47
YoY Asset Growth %,,3.9,-0.9,-12.2,8.3,2.1,20.3,-0.1,13.7,3.9,9.0,19.6,4.6
YoY Debt Growth %,,19.3,-10.8,-25.3,-28.3,-4.2,93.5,22.6,-29.5,-19.3,-12.8,12.7,4.6
YoY Net Worth Growth %,,-15.5,15.9,-2.4,66.0,4.0,0.2,-16.2,93.5,13.0,18.5,18.0,3.7
