Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,4066.0,4189.0,4023.0,4021.0,4104.0,4512.0,4463.0,1575.0,3056.0,5810.0,6769.0,8335.0,9349.0
Expenses +,3504.0,3762.0,3411.0,3411.0,3432.0,3682.0,3496.0,1937.0,2651.0,4005.0,4609.0,5565.0,6270.0
Operating Profit,562.0,427.0,612.0,610.0,671.0,830.0,968.0,-362.0,405.0,1805.0,2160.0,2769.0,3079.0
OPM %,14.0,10.0,15.0,15.0,16.0,18.0,22.0,-23.0,13.0,31.0,32.0,33.0,33.0
Other Income +,-497.0,-193.0,-43.0,44.0,83.0,90.0,173.0,325.0,171.0,142.0,181.0,535.0,537.0
Interest,169.0,176.0,376.0,324.0,269.0,190.0,341.0,403.0,428.0,236.0,220.0,208.0,220.0
Depreciation,308.0,291.0,285.0,299.0,301.0,328.0,404.0,410.0,406.0,416.0,454.0,518.0,580.0
Profit before tax,-412.0,-232.0,-91.0,31.0,184.0,402.0,396.0,-850.0,-258.0,1295.0,1666.0,2578.0,2816.0
Tax %,27.0,49.0,99.0,372.0,66.0,39.0,11.0,-18.0,-14.0,25.0,28.0,24.0,
Net Profit +,-536.0,-347.0,-203.0,-46.0,104.0,296.0,364.0,-796.0,-265.0,1053.0,1330.0,2038.0,2164.0
EPS in Rs,-5.14,-3.51,-1.75,-0.48,0.76,2.17,2.68,-5.45,-1.74,7.06,8.85,13.4,14.1
Dividend Payout %,0.0,0.0,-13.0,-55.0,47.0,21.0,17.0,-7.0,-23.0,14.0,20.0,17.0,
EBITDA,562.0,427.0,612.0,610.0,671.0,830.0,968.0,-362.0,405.0,1805.0,2160.0,2769.0,3079.0
EBITDA Margin %,13.8,10.2,15.2,15.2,16.3,18.4,21.7,-23.0,13.3,31.1,31.9,33.2,32.9
Net Profit Margin %,-13.2,-8.3,-5.0,-1.1,2.5,6.6,8.2,-50.5,-8.7,18.1,19.6,24.5,23.1
Interest Coverage Ratio,3.33,2.43,1.63,1.88,2.49,4.37,2.84,-0.9,0.95,7.65,9.82,13.31,14.0
Effective Tax Rate %,-30.1,-49.6,-123.1,248.4,43.5,26.4,8.1,6.4,-2.7,18.7,20.2,20.9,23.2
EBIT,-243.0,-57.0,284.0,355.0,453.0,592.0,737.0,-447.0,170.0,1531.0,1887.0,2786.0,3036.0
Core Net Profit,-39.0,-154.0,-160.0,-90.0,21.0,206.0,191.0,-1121.0,-436.0,911.0,1149.0,1503.0,1627.0
Cost-to-Income Ratio,0.86,0.9,0.85,0.85,0.84,0.82,0.78,1.23,0.87,0.69,0.68,0.67,0.67
Depreciation to Sales %,7.6,6.9,7.1,7.4,7.3,7.3,9.1,26.0,13.3,7.2,6.7,6.2,6.2
Interest to Sales %,4.2,4.2,9.3,8.1,6.6,4.2,7.6,25.6,14.0,4.1,3.3,2.5,2.4
YoY Sales Growth %,,3.0,-4.0,-0.0,2.1,9.9,-1.1,-64.7,94.0,90.1,16.5,23.1,12.2
YoY Net Profit Growth %,,35.3,41.5,77.3,326.1,184.6,23.0,-318.7,66.7,497.4,26.3,53.2,6.2
YoY Operating Profit Growth %,,-24.0,43.3,-0.3,10.0,23.7,16.6,-137.4,211.9,345.7,19.7,28.2,11.2
