Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,1686.0,1625.0,1466.0,1433.0,1964.0,1905.0,1550.0,1826.0,2533.0,2425.0,2041.0,2041.0,2842.0
Expenses +,1089.0,1090.0,1056.0,1078.0,1231.0,1246.0,1101.0,1325.0,1571.0,1568.0,1465.0,1471.0,1766.0
Operating Profit,597.0,535.0,410.0,355.0,732.0,660.0,450.0,501.0,962.0,857.0,576.0,570.0,1076.0
OPM %,35.0,33.0,28.0,25.0,37.0,35.0,29.0,27.0,38.0,35.0,28.0,28.0,38.0
Other Income +,58.0,29.0,49.0,48.0,40.0,46.0,46.0,371.0,59.0,59.0,61.0,83.0,334.0
Interest,57.0,57.0,57.0,59.0,53.0,52.0,50.0,52.0,52.0,54.0,55.0,56.0,56.0
Depreciation,103.0,108.0,109.0,111.0,114.0,120.0,117.0,125.0,134.0,142.0,143.0,145.0,150.0
Profit before tax,495.0,400.0,294.0,232.0,605.0,535.0,328.0,696.0,834.0,720.0,440.0,453.0,1203.0
Tax %,23.0,24.0,28.0,31.0,28.0,26.0,29.0,18.0,26.0,25.0,27.0,30.0,22.0
Net Profit +,404.0,339.0,236.0,179.0,477.0,438.0,260.0,583.0,633.0,563.0,329.0,318.0,954.0
EPS in Rs,2.69,2.31,1.57,1.18,3.18,2.93,1.75,3.9,4.09,3.67,2.08,2.0,6.35
EBITDA,597.0,535.0,410.0,355.0,732.0,660.0,450.0,501.0,962.0,857.0,576.0,570.0,1076.0
EBITDA Margin %,35.4,32.9,28.0,24.8,37.3,34.6,29.0,27.4,38.0,35.3,28.2,27.9,37.9
Net Profit Margin %,24.0,20.9,16.1,12.5,24.3,23.0,16.8,31.9,25.0,23.2,16.1,15.6,33.6
Interest Coverage Ratio,10.47,9.39,7.19,6.02,13.81,12.69,9.0,9.63,18.5,15.87,10.47,10.18,19.21
QoQ Sales Growth %,,-3.6,-9.8,-2.3,37.1,-3.0,-18.6,17.8,38.7,-4.3,-15.8,0.0,39.2
QoQ Net Profit Growth %,,-16.1,-30.4,-24.2,166.5,-8.2,-40.6,124.2,8.6,-11.1,-41.6,-3.3,200.0
QoQ Operating Profit Growth %,,-10.4,-23.4,-13.4,106.2,-9.8,-31.8,11.3,92.0,-10.9,-32.8,-1.0,88.8
YoY Sales Growth %,,,,,16.5,17.2,5.7,27.4,29.0,27.3,31.7,11.8,12.2
YoY Net Profit Growth %,,,,,18.1,29.2,10.2,225.7,32.7,28.5,26.5,-45.5,50.7
Trailing 4Q Sales,,,,6210.0,6488.0,6768.0,6852.0,7245.0,7814.0,8334.0,8825.0,9040.0,9349.0
Trailing 4Q Net Profit,,,,1158.0,1231.0,1330.0,1354.0,1758.0,1914.0,2039.0,2108.0,1843.0,2164.0
