Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,539.0,166.0,309.0,667.0,818.0,944.0,1024.0
Expenses +,369.0,171.0,242.0,395.0,507.0,608.0,617.0
Operating Profit,170.0,-4.0,66.0,272.0,311.0,337.0,407.0
OPM %,32.0,-3.0,22.0,41.0,38.0,36.0,40.0
Other Income +,12.0,26.0,35.0,50.0,9.0,31.0,6.0
Interest,207.0,186.0,216.0,266.0,265.0,109.0,99.0
Depreciation,110.0,105.0,100.0,82.0,91.0,109.0,115.0
Profit before tax,-135.0,-269.0,-214.0,-26.0,-37.0,150.0,199.0
Tax %,-42.0,-26.0,-12.0,-94.0,-165.0,52.0,
Net Profit +,-79.0,-199.0,-188.0,-2.0,24.0,71.0,146.0
EPS in Rs,,,,,1.07,3.2,6.57
Dividend Payout %,0.0,0.0,0.0,0.0,0.0,0.0,
EBITDA,170.0,-4.0,66.0,272.0,311.0,337.0,407.0
EBITDA Margin %,31.5,-2.4,21.4,40.8,38.0,35.7,39.7
Net Profit Margin %,-14.7,-119.9,-60.8,-0.3,2.9,7.5,14.3
Interest Coverage Ratio,0.82,-0.02,0.31,1.02,1.17,3.09,4.11
Effective Tax Rate %,41.5,26.0,12.1,92.3,164.9,52.7,26.6
EBIT,72.0,-83.0,1.0,240.0,229.0,259.0,298.0
Core Net Profit,-91.0,-225.0,-223.0,-52.0,15.0,40.0,140.0
Cost-to-Income Ratio,0.68,1.03,0.78,0.59,0.62,0.64,0.6
Depreciation to Sales %,20.4,63.3,32.4,12.3,11.1,11.5,11.2
Interest to Sales %,38.4,112.0,69.9,39.9,32.4,11.5,9.7
YoY Sales Growth %,,-69.2,86.1,115.9,22.6,15.4,8.5
YoY Net Profit Growth %,,-151.9,5.5,98.9,1300.0,195.8,105.6
YoY Operating Profit Growth %,,-102.4,1750.0,312.1,14.3,8.4,20.8
