Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,290.0,368.0,412.0,484.0,550.0,669.0,252.0,402.0,875.0,1071.0,1286.0,1407.0
Expenses +,239.0,268.0,295.0,348.0,381.0,429.0,194.0,283.0,427.0,548.0,652.0,728.0
Operating Profit,51.0,100.0,117.0,136.0,169.0,241.0,57.0,119.0,448.0,523.0,634.0,679.0
OPM %,18.0,27.0,28.0,28.0,31.0,36.0,23.0,30.0,51.0,49.0,49.0,48.0
Other Income +,13.0,5.0,12.0,13.0,15.0,11.0,22.0,22.0,10.0,13.0,13.0,-25.0
Interest,72.0,72.0,78.0,78.0,85.0,162.0,190.0,181.0,182.0,208.0,211.0,176.0
Depreciation,52.0,52.0,51.0,53.0,54.0,92.0,108.0,104.0,97.0,112.0,139.0,138.0
Profit before tax,-60.0,-19.0,-0.0,18.0,45.0,-2.0,-219.0,-145.0,178.0,216.0,296.0,340.0
Tax %,5.0,35.0,1452.0,21.0,-25.0,499.0,-15.0,-5.0,21.0,16.0,18.0,
Net Profit +,-63.0,-26.0,-5.0,15.0,56.0,-13.0,-187.0,-137.0,141.0,182.0,243.0,280.0
EPS in Rs,-0.81,-0.35,-0.08,0.18,0.67,-0.12,-1.6,-1.1,1.45,1.87,2.48,2.78
Dividend Payout %,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
EBITDA,51.0,100.0,117.0,136.0,169.0,241.0,57.0,119.0,448.0,523.0,634.0,679.0
EBITDA Margin %,17.6,27.2,28.4,28.1,30.7,36.0,22.6,29.6,51.2,48.8,49.3,48.3
Net Profit Margin %,-21.7,-7.1,-1.2,3.1,10.2,-1.9,-74.2,-34.1,16.1,17.0,18.9,19.9
Interest Coverage Ratio,0.71,1.39,1.5,1.74,1.99,1.49,0.3,0.66,2.46,2.51,3.0,3.86
Effective Tax Rate %,-5.0,-36.8,,16.7,-24.4,-550.0,14.6,5.5,20.8,15.7,17.9,17.6
EBIT,12.0,53.0,78.0,96.0,130.0,160.0,-29.0,37.0,361.0,424.0,508.0,516.0
Core Net Profit,-76.0,-31.0,-17.0,2.0,41.0,-24.0,-209.0,-159.0,131.0,169.0,230.0,305.0
Cost-to-Income Ratio,0.82,0.73,0.72,0.72,0.69,0.64,0.77,0.7,0.49,0.51,0.51,0.52
Depreciation to Sales %,17.9,14.1,12.4,11.0,9.8,13.8,42.9,25.9,11.1,10.5,10.8,9.8
Interest to Sales %,24.8,19.6,18.9,16.1,15.5,24.2,75.4,45.0,20.8,19.4,16.4,12.5
YoY Sales Growth %,,26.9,12.0,17.5,13.6,21.6,-62.3,59.5,117.7,22.4,20.1,9.4
YoY Net Profit Growth %,,58.7,80.8,400.0,273.3,-123.2,-1338.5,26.7,202.9,29.1,33.5,15.2
YoY Operating Profit Growth %,,96.1,17.0,16.2,24.3,42.6,-76.3,108.8,276.5,16.7,21.2,7.1
