Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,234.0,253.0,224.0,227.0,290.0,327.0,268.0,284.0,355.0,379.0,316.0,306.0,406.0
Expenses +,107.0,113.0,118.0,125.0,149.0,156.0,153.0,154.0,171.0,175.0,176.0,176.0,201.0
Operating Profit,126.0,140.0,106.0,102.0,141.0,171.0,115.0,131.0,184.0,203.0,140.0,131.0,205.0
OPM %,54.0,55.0,47.0,45.0,49.0,52.0,43.0,46.0,52.0,54.0,44.0,43.0,50.0
Other Income +,1.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,-30.0
Interest,44.0,45.0,48.0,47.0,53.0,53.0,52.0,51.0,50.0,47.0,45.0,42.0,41.0
Depreciation,24.0,24.0,23.0,23.0,33.0,33.0,35.0,35.0,35.0,35.0,34.0,34.0,35.0
Profit before tax,59.0,73.0,36.0,35.0,56.0,89.0,29.0,45.0,100.0,122.0,63.0,56.0,99.0
Tax %,18.0,20.0,24.0,25.0,21.0,6.0,31.0,23.0,20.0,12.0,23.0,25.0,17.0
Net Profit +,49.0,59.0,28.0,26.0,44.0,84.0,20.0,35.0,80.0,108.0,48.0,42.0,82.0
EPS in Rs,0.5,0.56,0.3,0.29,0.45,0.85,0.25,0.37,0.79,1.07,0.48,0.44,0.79
EBITDA,126.0,140.0,106.0,102.0,141.0,171.0,115.0,131.0,184.0,203.0,140.0,131.0,205.0
EBITDA Margin %,53.8,55.3,47.3,44.9,48.6,52.3,42.9,46.1,51.8,53.6,44.3,42.8,50.5
Net Profit Margin %,20.9,23.3,12.5,11.5,15.2,25.7,7.5,12.3,22.5,28.5,15.2,13.7,20.2
Interest Coverage Ratio,2.86,3.11,2.21,2.17,2.66,3.23,2.21,2.57,3.68,4.32,3.11,3.12,5.0
QoQ Sales Growth %,,8.1,-11.5,1.3,27.8,12.8,-18.0,6.0,25.0,6.8,-16.6,-3.2,32.7
QoQ Net Profit Growth %,,20.4,-52.5,-7.1,69.2,90.9,-76.2,75.0,128.6,35.0,-55.6,-12.5,95.2
QoQ Operating Profit Growth %,,11.1,-24.3,-3.8,38.2,21.3,-32.7,13.9,40.5,10.3,-31.0,-6.4,56.5
YoY Sales Growth %,,,,,23.9,29.2,19.6,25.1,22.4,15.9,17.9,7.7,14.4
YoY Net Profit Growth %,,,,,-10.2,42.4,-28.6,34.6,81.8,28.6,140.0,20.0,2.5
Trailing 4Q Sales,,,,938.0,994.0,1068.0,1112.0,1169.0,1234.0,1286.0,1334.0,1356.0,1407.0
Trailing 4Q Net Profit,,,,162.0,157.0,182.0,174.0,183.0,219.0,243.0,271.0,278.0,280.0
