Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,501,441,582,737,796,987,981,286,508,1128,1417,1718,2734
Expenses +,403,377,446,624,551,668,644,279,409,676,833,982,1570
Operating Profit,98,64,136,113,245,319,337,7,98,453,585,736,1163
OPM %,20%,14%,23%,15%,31%,32%,34%,2%,19%,40%,41%,43%,43%
Other Income +,-42,18,13,311,-66,44,24,14,11,92,20,36,44
Interest,137,161,216,218,212,266,146,152,144,154,197,159,188
Depreciation,60,62,99,127,112,115,113,117,118,117,138,179,220
Profit before tax,-141,-141,-166,79,-145,-18,101,-248,-153,273,269,434,800
Tax %,-23%,-10%,-32%,-61%,-36%,-58%,1%,-44%,-47%,33%,-3%,67%,
Net Profit +,-109,-126,-112,127,-93,-8,100,-139,-81,183,278,142,606
EPS in Rs,-7.15,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,27.72
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,

Additional Metrics,Value
Compounded Sales Growth (10 Years:),15%
Compounded Sales Growth (5 Years:),12%
Compounded Sales Growth (3 Years:),50%
Compounded Sales Growth (TTM:),69%
Compounded Profit Growth (10 Years:),12%
Compounded Profit Growth (5 Years:),6%
Compounded Profit Growth (3 Years:),56%
Compounded Profit Growth (TTM:),500%
Stock Price CAGR (10 Years:),%
Stock Price CAGR (5 Years:),41%
Stock Price CAGR (3 Years:),29%
Stock Price CAGR (1 Year:),-6%
Return on Equity (10 Years:),3%
Return on Equity (5 Years:),4%
Return on Equity (3 Years:),10%
Return on Equity (Last Year:),6%
