Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,81,81,99,99,119,119,119,119,142,142,142,142,142
Reserves,2556,2146,2481,2419,4062,4229,4238,3530,6920,7840,9314,11018,11427
Borrowings +,4252,5074,4526,3383,2427,2326,4501,5518,3888,3139,2736,3084,3226
Other Liabilities +,2626,2582,2691,2698,2706,2840,2584,2268,2052,2391,2541,3371,3623
Total Liabilities,9514,9884,9797,8599,9314,9514,11442,11435,13002,13512,14733,17616,18419
Fixed Assets +,6215,6299,6762,5815,6163,6422,8059,8438,8415,8819,9311,10918,11156
CWIP,554,306,290,223,197,116,244,165,194,332,256,633,862
Investments,1427,1587,1515,1244,1511,1335,1427,1483,1967,1891,2261,2279,3339
Other Assets +,1318,1692,1231,1317,1443,1641,1712,1349,2426,2470,2905,3786,3061
Total Assets,9514,9884,9797,8599,9314,9514,11442,11435,13002,13512,14733,17616,18419
