Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,4066,4189,4023,4021,4104,4512,4463,1575,3056,5810,6769,8335,9349
Expenses +,3504,3762,3411,3411,3432,3682,3496,1937,2651,4005,4609,5565,6270
Operating Profit,562,427,612,610,671,830,968,-362,405,1805,2160,2769,3079
OPM %,14%,10%,15%,15%,16%,18%,22%,-23%,13%,31%,32%,33%,33%
Other Income +,-497,-193,-43,44,83,90,173,325,171,142,181,535,537
Interest,169,176,376,324,269,190,341,403,428,236,220,208,220
Depreciation,308,291,285,299,301,328,404,410,406,416,454,518,580
Profit before tax,-412,-232,-91,31,184,402,396,-850,-258,1295,1666,2578,2816
Tax %,27%,49%,99%,372%,66%,39%,11%,-18%,-14%,25%,28%,24%,
Net Profit +,-536,-347,-203,-46,104,296,364,-796,-265,1053,1330,2038,2164
EPS in Rs,-5.14,-3.51,-1.75,-0.48,0.76,2.17,2.68,-5.45,-1.74,7.06,8.85,13.40,14.10
Dividend Payout %,0%,0%,-13%,-55%,47%,21%,17%,-7%,-23%,14%,20%,17%,

Additional Metrics,Value
Compounded Sales Growth (10 Years:),7%
Compounded Sales Growth (5 Years:),13%
Compounded Sales Growth (3 Years:),40%
Compounded Sales Growth (TTM:),20%
Compounded Profit Growth (10 Years:),26%
Compounded Profit Growth (5 Years:),43%
Compounded Profit Growth (3 Years:),97%
Compounded Profit Growth (TTM:),16%
Stock Price CAGR (10 Years:),21%
Stock Price CAGR (5 Years:),45%
Stock Price CAGR (3 Years:),25%
Stock Price CAGR (1 Year:),-19%
Return on Equity (10 Years:),6%
Return on Equity (5 Years:),7%
Return on Equity (3 Years:),15%
Return on Equity (Last Year:),16%
