Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales +,1686,1625,1466,1433,1964,1905,1550,1826,2533,2425,2041,2041,2842
Expenses +,1089,1090,1056,1078,1231,1246,1101,1325,1571,1568,1465,1471,1766
Operating Profit,597,535,410,355,732,660,450,501,962,857,576,570,1076
OPM %,35%,33%,28%,25%,37%,35%,29%,27%,38%,35%,28%,28%,38%
Other Income +,58,29,49,48,40,46,46,371,59,59,61,83,334
Interest,57,57,57,59,53,52,50,52,52,54,55,56,56
Depreciation,103,108,109,111,114,120,117,125,134,142,143,145,150
Profit before tax,495,400,294,232,605,535,328,696,834,720,440,453,1203
Tax %,23%,24%,28%,31%,28%,26%,29%,18%,26%,25%,27%,30%,22%
Net Profit +,404,339,236,179,477,438,260,583,633,563,329,318,954
EPS in Rs,2.69,2.31,1.57,1.18,3.18,2.93,1.75,3.90,4.09,3.67,2.08,2.00,6.35
