Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,539,166,309,667,818,944,1024
Expenses +,369,171,242,395,507,608,617
Operating Profit,170,-4,66,272,311,337,407
OPM %,32%,-3%,22%,41%,38%,36%,40%
Other Income +,12,26,35,50,9,31,6
Interest,207,186,216,266,265,109,99
Depreciation,110,105,100,82,91,109,115
Profit before tax,-135,-269,-214,-26,-37,150,199
Tax %,-42%,-26%,-12%,-94%,-165%,52%,
Net Profit +,-79,-199,-188,-2,24,71,146
EPS in Rs,,,,,1.07,3.20,6.57
Dividend Payout %,0%,0%,0%,0%,0%,0%,

Additional Metrics,Value
Compounded Sales Growth (10 Years:),%
Compounded Sales Growth (5 Years:),12%
Compounded Sales Growth (3 Years:),45%
Compounded Sales Growth (TTM:),12%
Compounded Profit Growth (10 Years:),%
Compounded Profit Growth (5 Years:),23%
Compounded Profit Growth (3 Years:),33%
Compounded Profit Growth (TTM:),148%
Stock Price CAGR (10 Years:),%
Stock Price CAGR (5 Years:),%
Stock Price CAGR (3 Years:),%
Stock Price CAGR (1 Year:),-17%
Return on Equity (10 Years:),%
Return on Equity (5 Years:),-6%
Return on Equity (3 Years:),1%
Return on Equity (Last Year:),3%
